,Group,Region_Number,Region_Name,State_Name,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Average_Annual_Percent_Growth
0,State,5,Southeast,Alabama,3932,4168,4511,4994,5252,5545,5755,5928,6097,6325,6421,6541,6821,6996,7281,7536,7782,8024,4.7
1,State,8,Far West,Alaska,4566,5169,5669,6099,6455,7145,7476,7975,8447,8745,9129,9586,10130,10428,11064,11428,11931,12364,6.6
2,State,6,Southwest,Arizona,3226,3438,3779,4077,4387,4828,5103,5410,5660,5874,6027,6076,6183,6262,6452,6654,6864,7080,4.3
3,State,5,Southeast,Arkansas,3737,4030,4360,4616,4899,5254,5469,5766,6000,6238,6412,6585,6804,6929,7408,7618,7887,8144,5.1
4,State,8,Far West,California,3578,3838,4126,4489,4781,5107,5397,5776,6038,6210,6480,6737,7018,7256,7549,7833,8117,8400,4.6
5,State,7,Rocky Mountains,Colorado,3769,3992,4259,4569,4831,4937,5264,5522,5685,5882,5979,6129,6306,6472,6804,7028,7246,7464,4.5
6,State,1,New England,Connecticut,5185,5560,5944,6226,6739,6997,7391,7793,8219,8740,8863,8950,9300,9517,9859,10193,10527,10861,4.9
7,State,2,Mideast,Delaware,4782,5091,5535,6164,6618,6980,7315,7726,8136,8405,8822,9213,9433,9766,10254,10661,11055,11446,5.7
8,State,2,Mideast,District of Columbia,6313,6663,7185,7661,8394,8764,9003,9562,9959,10439,10876,11281,11223,11466,11944,12355,12759,13162,4.2
9,State,5,Southeast,Florida,4461,4745,5027,5336,5690,5957,6284,6585,6854,7134,7301,7408,7635,7688,8076,8345,8605,8864,4.5
10,State,5,Southeast,Georgia,3606,3806,4135,4358,4732,4891,5148,5329,5358,5513,5554,5713,6009,6249,6587,6825,7045,7261,4.3
11,State,8,Far West,Hawaii,3883,4104,4407,4750,5018,5389,5555,6098,6382,6542,6496,6527,6803,6955,7299,7561,7810,8055,4.6
12,State,7,Rocky Mountains,Idaho,3394,3651,4008,4252,4492,4799,5057,5309,5459,5700,5999,6135,6380,6593,6927,7164,7418,7669,5.3
