feature,coef
qlactlm2_No,0.794492746
qlactlm2_Yes,-0.756340816
educa_college,0.75518335
educa_elementary,-0.664419636
educa_no_school,-0.654222805
x.incomg_50k+,0.601816574
x.incomg_<15k,-0.564766422
educa_some_college,0.489404823
useequip_No,0.479428541
useequip_Yes,-0.44127661
exerany2_Yes,0.311316735
medcost_No,0.31028382
exerany2_No,-0.273164804
medcost_Yes,-0.27213189
educa_high_school,0.2635345
drocdy3._atleast_1,0.259293739
x.incomg_15-25k,-0.245143286
x.incomg_35-50k,0.233127333
x.smoker3_never_smoked,0.223411888
drocdy3._no_drink,-0.221141808
marital_separated,-0.191544862
marital_never_married,0.166243223
educa_some_high_school,-0.151328301
x.smoker3_current_smoker,-0.144637311
x.rfbmi5_No,0.140336152
hlthpln1_No,0.107934975
x.rfbmi5_Yes,-0.102184221
sex_female,0.096184418
marital_mem_of_unmarried_couple,0.087547036
hlthpln1_Yes,-0.069783044
renthom1_own,0.063462515
sex_male,-0.058032487
x.smoker3_former_smoker,-0.040622647
marital_married,-0.037089836
renthom1_other,-0.029069701
marital_widowed,0.025102369
x.incomg_25-35k,0.013117732
marital_divorced,-0.012106
