,Group,Region_Number,Region_Name,State_Name,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Average_Annual_Percent_Growth
0,State,5,Southeast,Alabama,2250,2270,2532,2870,2836,2985,3161,3183,3482,3433,3521,3466,3549,3641,3753,3861,3970,3.8
1,State,8,Far West,Alaska,3200,3422,3851,4094,4446,4137,4244,4574,5012,5323,5709,6470,5791,5958,6178,6389,6602,4.9
2,State,6,Southwest,Arizona,1932,2056,2404,2498,2900,2726,3083,3505,3644,3738,4064,4084,3769,4035,4170,4337,4496,5.8
3,State,5,Southeast,Arkansas,1995,2465,2276,2469,2520,2862,2953,3316,3355,3293,3463,3773,3730,3906,4019,4169,4297,5.3
4,State,8,Far West,California,2175,2303,2637,2818,3005,3174,3326,3521,3788,4092,4499,4446,4560,4735,4933,5130,5328,6.2
5,State,7,Rocky Mountains,Colorado,2130,2370,2613,2797,3059,3062,3276,3515,3721,3593,4037,4091,4379,4623,4781,4987,5166,6.1
6,State,1,New England,Connecticut,2641,2646,3031,3297,3435,3655,3821,4196,4593,4727,4978,5018,5011,5187,5380,5575,5770,5.3
7,State,2,Mideast,Delaware,2674,2953,3022,3458,3620,3711,3914,3997,4209,4301,4971,4616,4498,4806,4917,5091,5245,4.6
8,State,2,Mideast,District of Columbia,5055,5280,5953,6403,6462,6642,6640,7070,7684,8164,8904,8631,8638,8831,9108,9395,9684,4.4
9,State,5,Southeast,Florida,2211,2458,2551,2757,2954,3052,3275,3529,3778,4198,4195,4299,4429,4606,4790,4974,5158,5.8
10,State,5,Southeast,Georgia,2425,2303,2736,2977,3200,3074,3154,3488,3615,3735,3946,4045,4329,4406,4593,4743,4906,4.7
11,State,8,Far West,Hawaii,2102,2061,2190,2607,2891,3053,3197,3424,3636,3666,3893,4086,3976,4222,4380,4544,4707,5.5
12,State,7,Rocky Mountains,Idaho,1957,2099,2587,2580,2782,2982,2838,2908,3141,3127,3036,3364,3414,3560,3676,3800,3922,4.7
13,State,3,Great Lakes,Illinois,2353,2795,2915,2982,3131,3368,3598,3736,4218,4242,4326,4423,4680,4875,5063,5253,5443,5.8
14,State,3,Great Lakes,Indiana,2441,2670,2932,3091,3375,3242,3674,3809,3687,3743,3872,4041,4045,4078,4225,4346,4473,4.0
15,State,4,Plains,Iowa,2019,2337,2473,2941,2835,3397,3342,3447,3679,3898,3779,4001,3982,4076,4266,4401,4568,5.6
16,State,4,Plains,Kansas,2213,2223,2391,2748,2669,2794,3074,3300,3474,3682,3802,3916,4272,4855,5116,5329,5536,6.2
17,State,5,Southeast,Kentucky,2063,2290,2515,2960,2964,2874,3178,3405,3958,4089,4548,4565,4564,4551,4747,4938,5130,6.3
18,State,5,Southeast,Louisiana,2098,2389,2475,2792,3092,3280,3172,3388,3598,3729,3779,4278,4319,4420,4621,4792,4972,5.9
19,State,1,New England,Maine,2314,2573,2747,3122,3237,3616,3680,3804,4089,4302,4522,4720,4863,5015,5249,5444,5658,6.1
20,State,2,Mideast,Maryland,2104,2316,2476,2775,2962,3112,3262,3484,3858,3987,4220,4243,4159,4343,4517,4690,4863,5.7
21,State,1,New England,Massachusetts,2697,2918,2898,3227,3335,3519,3715,4067,4386,4832,5063,5254,5245,5302,5474,5668,5865,5.3
22,State,3,Great Lakes,Michigan,2372,2599,2882,3036,3207,3582,3640,3642,3874,4191,3952,3949,3865,3950,4067,4189,4311,4.0
23,State,4,Plains,Minnesota,2204,2500,2784,2977,3014,3187,3346,3667,3834,3946,4452,4384,4263,4603,4752,4939,5119,5.8
24,State,5,Southeast,Mississippi,2087,2100,2321,2434,2965,2750,3182,3251,3453,3747,3736,3860,3931,4045,4229,4367,4535,5.2
25,State,4,Plains,Missouri,2014,2213,2403,2787,2930,3317,3290,3381,3785,3578,4036,4429,4360,4354,4604,4764,4956,6.1
26,State,7,Rocky Mountains,Montana,2126,2024,2359,2372,2765,2891,2899,3102,3114,3145,3659,3760,3870,3882,4088,4203,4362,4.7
